time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1970/01/01/05:36:09.235000,-0.114,0.0,0.0,0.0,0.0,-11.872599999999998
1970/01/01/05:36:09.335000,-0.116,0.0,0.0,0.0,0.0,-12.270799999999998
1970/01/01/05:36:09.435000,-0.116,0.0,0.0,0.0,0.0,-12.664599999999998
1970/01/01/05:36:09.534000,-0.118,0.0,0.0,0.0,0.0,-13.053499999999998
1970/01/01/05:36:09.635000,-0.118,0.0,0.0,0.0,0.0,-13.437999999999997
1970/01/01/05:36:09.735000,-0.119,0.0,0.0,0.0,0.0,-13.817799999999997
1970/01/01/05:36:09.835000,-0.121,0.0,0.0,0.0,0.0,-14.187099999999997
1970/01/01/05:36:09.935000,-0.123,0.0,0.0,0.0,0.0,-14.549099999999997
1970/01/01/05:36:10.034000,-0.125,0.0,0.0,0.0,0.0,-14.905699999999998
1970/01/01/05:36:10.135000,-0.126,0.0,0.0,0.0,0.0,-15.257099999999998
1970/01/01/05:36:10.235000,-0.126,0.0,0.0,0.0,0.0,-15.604099999999997
1970/01/01/05:36:10.335000,-0.126,0.0,0.0,0.0,0.0,-15.946799999999998
1970/01/01/05:36:10.435000,-0.128,0.0,0.0,0.0,0.0,-16.284599999999998
1970/01/01/05:36:10.535000,-0.129,0.0,0.0,0.0,0.0,-16.616899999999998
1970/01/01/05:36:10.655000,-0.129,0.0,0.0,0.0,0.0,-16.944899999999997
1970/01/01/05:36:10.735000,-0.13,0.0,0.0,0.0,0.0,-17.268199999999997
1970/01/01/05:36:10.835000,-0.132,0.0,0.0,0.0,0.0,-17.586699999999997
1970/01/01/05:36:10.934000,-0.133,0.0,0.0,0.0,0.0,-17.900599999999997
1970/01/01/05:36:11.034000,-0.133,0.0,0.0,0.0,0.0,-18.209699999999998
1970/01/01/05:36:11.135000,-0.135,0.0,0.0,0.0,0.0,-18.513599999999997
1970/01/01/05:36:11.235000,-0.136,0.0,0.0,0.0,0.0,-18.812499999999996
1970/01/01/05:36:11.334000,-0.136,0.0,0.0,0.0,0.0,-19.106699999999996
1970/01/01/05:36:11.435000,-0.138,0.0,0.0,0.0,0.0,-19.395699999999998
1970/01/01/05:36:11.535000,-0.138,0.0,0.0,0.0,0.0,-19.6801
1970/01/01/05:36:11.635000,-0.139,0.0,0.0,0.0,0.0,-19.9592
1970/01/01/05:36:11.735000,-0.14,0.0,0.0,0.0,0.0,-20.2338
1970/01/01/05:36:11.835000,-0.141,0.0,0.0,0.0,0.0,-20.5035
1970/01/01/05:36:11.935000,-0.142,0.0,0.0,0.0,0.0,-20.767899999999997
1970/01/01/05:36:12.035000,-0.143,0.0,0.0,0.0,0.0,-21.026999999999997
1970/01/01/05:36:12.135000,-0.144,0.0,0.0,0.0,0.0,-21.281299999999998
1970/01/01/05:36:12.235000,-0.145,0.0,0.0,0.0,0.0,-21.530299999999997
1970/01/01/05:36:12.334000,-0.145,0.0,0.0,0.0,0.0,-21.774299999999997
1970/01/01/05:36:12.434000,-0.146,0.0,0.0,0.0,0.0,-22.013599999999997
1970/01/01/05:36:12.535000,-0.147,0.0,0.0,0.0,0.0,-22.2477
1970/01/01/05:36:12.635000,-0.148,0.0,0.0,0.0,0.0,-22.476499999999998
1970/01/01/05:36:12.735000,-0.149,0.0,0.0,0.0,0.0,-22.7001
1970/01/01/05:36:12.835000,-0.15,0.0,0.0,0.0,0.0,-22.918499999999998
1970/01/01/05:36:12.934000,-0.15,0.0,0.0,0.0,0.0,-23.131899999999998
1970/01/01/05:36:13.035000,-0.152,0.0,0.0,0.0,0.0,-23.3401
1970/01/01/05:36:13.133000,-0.153,0.0,0.0,0.0,0.0,-23.5432
1970/01/01/05:36:13.234000,-0.153,0.0,0.0,0.0,0.0,-23.740499999999997
1970/01/01/05:36:13.335000,-0.154,0.0,0.0,0.0,0.0,-23.933199999999996
1970/01/01/05:36:13.435000,-0.155,0.0,0.0,0.0,0.0,-24.120599999999996
1970/01/01/05:36:13.534000,-0.156,0.0,0.0,0.0,0.0,-24.302399999999995
1970/01/01/05:36:13.634000,-0.157,0.0,0.0,0.0,0.0,-24.478499999999997
1970/01/01/05:36:13.735000,-0.158,0.0,0.0,0.0,0.0,-24.649299999999997
1970/01/01/05:36:13.834000,-0.158,0.0,0.0,0.0,0.0,-24.815199999999997
1970/01/01/05:36:13.934000,-0.159,0.0,0.0,0.0,0.0,-24.975299999999997
1970/01/01/05:36:14.034000,-0.16,0.0,0.0,0.0,0.0,-25.130399999999998
1970/01/01/05:36:14.135000,-0.161,0.0,0.0,0.0,0.0,-25.280199999999997
1970/01/01/05:36:14.235000,-0.161,0.0,0.0,0.0,0.0,-25.423599999999997
1970/01/01/05:36:14.335000,-0.162,0.0,0.0,0.0,0.0,-25.561999999999998
1970/01/01/05:36:14.435000,-0.163,0.0,0.0,0.0,0.0,-25.694699999999997
1970/01/01/05:36:14.536000,-0.164,0.0,0.0,0.0,0.0,-25.8222
1970/01/01/05:36:14.634000,-0.165,0.0,0.0,0.0,0.0,-25.944
1970/01/01/05:36:14.735000,-0.166,0.0,0.0,0.0,0.0,-26.0601
1970/01/01/05:36:14.835000,-0.166,0.0,0.0,0.0,0.0,-26.1712
1970/01/01/05:36:14.935000,-0.167,0.0,0.0,0.0,0.0,-26.2765
1970/01/01/05:36:15.034000,-0.168,0.0,0.0,0.0,0.0,-26.376199999999997
1970/01/01/05:36:15.134000,-0.168,0.0,0.0,0.0,0.0,-26.469599999999996
1970/01/01/05:36:15.234000,-0.169,0.0,0.0,0.0,0.0,-26.557899999999997
1970/01/01/05:36:15.335000,-0.17,0.0,0.0,0.0,0.0,-26.640499999999996
1970/01/01/05:36:15.535000,-0.17,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:15.536000,-0.15,0.0,0.0,0.0,0.0,0.144
1970/01/01/05:36:15.634000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:15.635000,-0.15,0.0,0.0,0.0,0.0,0.134
1970/01/01/05:36:15.735000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:15.736000,-0.15,0.0,0.0,0.0,0.0,0.1228
1970/01/01/05:36:15.835000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:15.836000,-0.15,0.0,0.0,0.0,0.0,0.1098
1970/01/01/05:36:15.935000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:15.937000,-0.15,0.0,0.0,0.0,0.0,0.1
1970/01/01/05:36:16.035000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:16.037000,-0.15,0.0,0.0,0.0,0.0,0.088
1970/01/01/05:36:16.135000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:16.136000,-0.15,0.0,0.0,0.0,0.0,0.0772
1970/01/01/05:36:16.234000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:16.235000,-0.15,0.0,0.0,0.0,0.0,0.0658
1970/01/01/05:36:16.334000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:16.335000,-0.15,0.0,0.0,0.0,0.0,0.0542
1970/01/01/05:36:16.435000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:16.436000,-0.15,0.0,0.0,0.0,0.0,0.0424
1970/01/01/05:36:16.535000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:16.537000,-0.15,0.0,0.0,0.0,0.0,0.0302
1970/01/01/05:36:16.633000,-0.15,0.0,0.0,0.0,0.0,0.0
1970/01/01/05:36:16.634000,-0.15,0.0,0.0,0.0,0.0,0.016
1970/01/01/05:36:16.734000,-0.15,0.0,0.0,0.0,0.0,0.0
