time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.angular_vel,.linear_vel,.kp_dist,.kd_dist,.kp_angle,.kd_angle,.y_offset,.fork_angle,.dist_2_pallet
1970/01/01/05:31:17.395000,383,0,0,,0.0192,0.105,0.09,0.1,0.102,0.02,0.102,0.087,1.172
1970/01/01/05:31:17.494000,384,0,0,,0.0195,0.104,0.09,0.1,0.103,0.02,0.103,0.086,1.164
1970/01/01/05:31:17.595000,385,0,0,,0.0192,0.103,0.09,0.1,0.103,0.02,0.103,0.084,1.155
1970/01/01/05:31:17.695000,386,0,0,,0.0194,0.102,0.09,0.1,0.104,0.02,0.104,0.083,1.147
1970/01/01/05:31:17.795000,387,0,0,,0.0196,0.102,0.09,0.1,0.105,0.02,0.105,0.082,1.138
1970/01/01/05:31:17.894000,388,0,0,,0.0194,0.101,0.09,0.1,0.105,0.02,0.105,0.08,1.129
1970/01/01/05:31:17.995000,389,0,0,,0.0192,0.1,0.09,0.1,0.105,0.02,0.105,0.078,1.121
1970/01/01/05:31:18.096000,390,0,0,,0.0194,0.099,0.09,0.1,0.106,0.02,0.106,0.077,1.111
1970/01/01/05:31:18.196000,391,0,0,,0.0196,0.098,0.09,0.1,0.107,0.02,0.107,0.076,1.103
1970/01/01/05:31:18.293000,392,0,0,,0.0193,0.098,0.09,0.1,0.107,0.02,0.107,0.074,1.094
1970/01/01/05:31:18.394000,393,0,0,,0.0192,0.097,0.09,0.1,0.107,0.02,0.107,0.073,1.086
1970/01/01/05:31:18.495000,394,0,0,,0.0194,0.096,0.09,0.1,0.108,0.02,0.108,0.072,1.077
1970/01/01/05:31:18.596000,395,0,0,,0.0195,0.095,0.09,0.1,0.109,0.02,0.109,0.07,1.066
1970/01/01/05:31:18.695000,396,0,0,,0.0193,0.094,0.09,0.1,0.109,0.02,0.109,0.068,1.058
1970/01/01/05:31:18.796000,397,0,0,,0.0195,0.094,0.09,0.1,0.11,0.02,0.11,0.067,1.049
1970/01/01/05:31:18.895000,398,0,0,,0.0193,0.093,0.09,0.1,0.11,0.02,0.11,0.066,1.04
1970/01/01/05:31:18.995000,399,0,0,,0.0191,0.092,0.09,0.1,0.11,0.02,0.11,0.064,1.032
1970/01/01/05:31:19.094000,400,0,0,,0.0193,0.091,0.09,0.1,0.111,0.02,0.111,0.063,1.022
1970/01/01/05:31:19.195000,401,0,0,,0.0192,0.09,0.09,0.1,0.111,0.02,0.111,0.062,1.013
1970/01/01/05:31:19.296000,402,0,0,,0.0192,0.09,0.09,0.1,0.112,0.02,0.112,0.06,1.005
1970/01/01/05:31:19.394000,403,0,0,,0.0191,0.089,0.09,0.1,0.112,0.02,0.112,0.059,0.996
